epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1026.24,2.11853,3.1756,1.89073,0.08743,0.12043,0.02564,0.00803,2.46873,3.56813,2.14707,0.000473915,0.000473915,0.000473915
2,2271.78,2.10286,3.0526,1.89243,0.38409,0.14683,0.024,0.00694,2.40944,3.28573,2.12231,0.000940841,0.000940841,0.000940841
3,3732.35,2.07088,3.03618,1.89986,0.00992,0.35134,0.00374,0.00106,2.61468,110.96,2.43743,0.00139834,0.00139834,0.00139834
4,4737.74,2.06554,3.02827,1.87858,0.07254,0.05759,0.01729,0.00528,2.68381,3.62614,2.36781,0.00138656,0.00138656,0.00138656
5,5744.48,1.96604,2.97922,1.83832,0.71955,0.08102,0.04511,0.01553,2.25053,3.20406,2.03117,0.00137241,0.00137241,0.00137241
6,6752.99,1.95057,2.93805,1.81135,0.09766,0.14538,0.0397,0.01378,2.18889,3.21488,1.97206,0.00135826,0.00135826,0.00135826
7,7757.59,1.91289,2.9188,1.79027,0.17555,0.12467,0.05415,0.02147,2.17302,3.14525,1.95512,0.00134412,0.00134412,0.00134412
8,8766.87,1.87224,2.86385,1.76749,0.14718,0.12544,0.04963,0.01808,2.15447,3.12727,1.91109,0.00132997,0.00132997,0.00132997
9,9780.92,1.83987,2.85838,1.75037,0.72484,0.09105,0.06265,0.02291,2.1271,3.11034,1.91345,0.00131582,0.00131582,0.00131582
10,10795.4,1.85697,2.83258,1.73748,0.1423,0.14204,0.05914,0.02244,2.15296,3.125,1.92203,0.00130168,0.00130168,0.00130168
11,11803.9,1.81431,2.8046,1.73221,0.15606,0.16235,0.06787,0.028,2.0557,2.9818,1.86248,0.00128753,0.00128753,0.00128753
12,13127.8,1.81014,2.78669,1.71154,0.23118,0.14561,0.07016,0.03153,2.08054,3.02129,1.89878,0.00127338,0.00127338,0.00127338
13,14137,1.80185,2.76838,1.70687,0.1606,0.14614,0.07202,0.02983,2.04747,2.97537,1.84461,0.00125923,0.00125923,0.00125923
14,15147,1.76399,2.75931,1.68078,0.15946,0.14425,0.07741,0.03183,2.07405,2.96123,1.84357,0.00124509,0.00124509,0.00124509
15,16155.3,1.772,2.74185,1.69679,0.17598,0.16044,0.08095,0.03664,2.02625,2.91276,1.82789,0.00123094,0.00123094,0.00123094
16,17160.6,1.76901,2.7534,1.68758,0.21605,0.14119,0.08446,0.03744,1.99686,2.96635,1.80765,0.00121679,0.00121679,0.00121679
17,18168.9,1.76102,2.72344,1.67756,0.21766,0.15426,0.08217,0.03495,2.04089,2.9108,1.82407,0.00120265,0.00120265,0.00120265
18,19176.7,1.74499,2.71685,1.66729,0.16419,0.15925,0.07705,0.03297,1.99282,2.98233,1.83313,0.0011885,0.0011885,0.0011885
