epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.95,1.797,2.53768,1.71341,0.72182,0.05556,0.03592,0.01321,2.44521,4.43446,2.30804,0.00047442,0.00047442,0.00047442
2,563.776,1.79217,2.3207,1.70112,0.73176,0.15412,0.08072,0.02739,2.04499,3.75591,1.76517,0.000888004,0.000888004,0.000888004
3,842.168,1.81652,2.30328,1.74983,0.73828,0.13082,0.06088,0.02172,2.0391,2.95386,1.73907,0.00123871,0.00123871,0.00123871
4,1120.84,1.74509,2.19335,1.70313,0.74971,0.12487,0.09684,0.03715,2.00148,3.02394,1.71434,0.00114606,0.00114606,0.00114606
5,1400,1.6471,2.1461,1.65056,0.7602,0.16308,0.09844,0.04161,1.8083,2.60553,1.56845,0.00105174,0.00105174,0.00105174
6,1674.95,1.76579,2.05929,1.73171,0.81497,0.16846,0.16007,0.07619,1.73349,2.37493,1.53928,0.00095743,0.00095743,0.00095743
7,1948.09,1.64923,1.98276,1.66655,0.82665,0.15412,0.15347,0.06786,1.66465,2.34894,1.43506,0.000863116,0.000863116,0.000863116
8,2221.4,1.61578,1.90246,1.63478,0.81263,0.18996,0.16919,0.08599,1.66332,2.20773,1.43198,0.000768802,0.000768802,0.000768802
9,2493.62,1.50771,1.75626,1.55185,0.84167,0.16308,0.22069,0.1225,1.60934,2.20554,1.38983,0.000674488,0.000674488,0.000674488
10,2770.28,1.47719,1.6785,1.50366,0.8391,0.19206,0.22449,0.12591,1.57972,2.04552,1.36822,0.000580174,0.000580174,0.000580174
11,3043.88,1.42513,1.63494,1.47635,0.86363,0.19154,0.21837,0.12565,1.49246,2.01212,1.31582,0.00048586,0.00048586,0.00048586
12,3317.71,1.39266,1.53237,1.44636,0.85121,0.22043,0.22992,0.12941,1.49026,2.05018,1.30974,0.000391546,0.000391546,0.000391546
13,3589.54,1.37507,1.50703,1.44338,0.87732,0.2154,0.24955,0.15699,1.39019,1.85942,1.2236,0.000297232,0.000297232,0.000297232
14,3862.69,1.31873,1.44813,1.40299,0.85987,0.21326,0.2263,0.13691,1.42336,1.93786,1.21743,0.000202918,0.000202918,0.000202918
15,4134.13,1.27342,1.40763,1.38017,0.87014,0.22464,0.24389,0.1553,1.36639,1.85397,1.19995,0.000108604,0.000108604,0.000108604
