epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.697,2.11974,3.18181,1.89083,0.05364,0.12042,0.02131,0.00644,2.40898,4.27695,2.06228,0.000471522,0.000471522,0.000471522
2,262.511,2.05369,2.98785,1.85747,0.06724,0.12424,0.02325,0.00722,2.41659,3.52502,2.20263,0.000938471,0.000938471,0.000938471
3,346.2,2.05651,2.96477,1.87011,0.05244,0.10673,0.01946,0.00561,2.50316,3.30199,2.21051,0.00139599,0.00139599,0.00139599
4,420.51,1.99737,2.94068,1.84247,0.07228,0.13055,0.02993,0.00979,2.39683,3.12902,2.07896,0.00138656,0.00138656,0.00138656
5,500.656,1.96688,2.9181,1.81417,0.11169,0.13872,0.03635,0.01275,2.32717,3.07232,2.10993,0.00137241,0.00137241,0.00137241
6,569.847,1.93894,2.86998,1.77939,0.16949,0.14179,0.04511,0.01709,2.26041,3.0794,1.99142,0.00135826,0.00135826,0.00135826
7,645.333,1.91864,2.87756,1.77628,0.13668,0.14321,0.04725,0.01828,2.27405,3.04622,1.99867,0.00134412,0.00134412,0.00134412
8,709.158,1.86902,2.84369,1.75274,0.17027,0.10773,0.04528,0.01588,2.25555,3.0916,2.03728,0.00132997,0.00132997,0.00132997
9,778.872,1.85549,2.83623,1.75641,0.16018,0.13721,0.05339,0.01984,2.12405,2.94783,1.88894,0.00131582,0.00131582,0.00131582
10,871.379,1.82294,2.7861,1.7148,0.13326,0.16219,0.0603,0.02313,2.1315,2.94447,1.88555,0.00130168,0.00130168,0.00130168
11,961.45,1.83068,2.78654,1.71338,0.1478,0.1742,0.06586,0.02522,2.11126,2.92542,1.86654,0.00128753,0.00128753,0.00128753
12,1029.21,1.79733,2.75872,1.70714,0.09026,0.14926,0.06972,0.02741,2.14417,2.9231,1.9122,0.00127338,0.00127338,0.00127338
13,1101.4,1.82208,2.7507,1.7022,0.15607,0.1531,0.07237,0.02986,2.06907,2.87183,1.84029,0.00125923,0.00125923,0.00125923
14,1183.18,1.77084,2.72678,1.68561,0.15443,0.14551,0.08199,0.03393,2.04241,2.85412,1.81651,0.00124509,0.00124509,0.00124509
15,1292.63,1.74761,2.71694,1.67219,0.15772,0.17106,0.08206,0.03366,2.06498,2.86095,1.84688,0.00123094,0.00123094,0.00123094
16,1384.96,1.73776,2.69061,1.65697,0.21648,0.15767,0.08655,0.03533,2.02326,2.86726,1.81582,0.00121679,0.00121679,0.00121679
17,1459.43,1.73833,2.6773,1.6563,0.16598,0.17069,0.0832,0.03623,2.04177,2.81955,1.79807,0.00120265,0.00120265,0.00120265
18,1529.69,1.72927,2.65915,1.64213,0.18519,0.14565,0.06753,0.02652,2.10425,2.96108,1.88077,0.0011885,0.0011885,0.0011885
19,1601.96,1.7201,2.67906,1.64182,0.19214,0.16193,0.08884,0.04013,2.01737,2.91462,1.78894,0.00117435,0.00117435,0.00117435
20,1671.31,1.72738,2.65342,1.64799,0.15435,0.16422,0.08667,0.03642,2.03756,2.85019,1.82995,0.00116021,0.00116021,0.00116021
21,1754.36,1.7054,2.65758,1.63552,0.18666,0.16988,0.09125,0.04247,2.04406,2.81924,1.81581,0.00114606,0.00114606,0.00114606
22,1820.65,1.69723,2.64333,1.63448,0.17319,0.1668,0.08527,0.03647,2.03099,2.86025,1.81367,0.00113191,0.00113191,0.00113191
23,1891.07,1.70565,2.64467,1.63769,0.18272,0.18028,0.09586,0.04436,2.0094,2.79602,1.80722,0.00111776,0.00111776,0.00111776
24,1961.65,1.68343,2.61729,1.61892,0.18065,0.18341,0.09005,0.04048,1.99196,2.84014,1.80673,0.00110362,0.00110362,0.00110362
25,2026.95,1.68155,2.62501,1.61982,0.19616,0.17107,0.09635,0.04573,1.97929,2.82737,1.76731,0.00108947,0.00108947,0.00108947
26,2090.5,1.69231,2.61139,1.61814,0.19285,0.18735,0.10103,0.04327,2.00642,2.79594,1.78764,0.00107532,0.00107532,0.00107532
27,2162.07,1.66626,2.60478,1.62106,0.18812,0.1586,0.09583,0.04306,1.99614,2.82218,1.77557,0.00106118,0.00106118,0.00106118
28,2225.44,1.67453,2.61342,1.61791,0.17433,0.21266,0.10021,0.04423,1.98448,2.74194,1.78102,0.00104703,0.00104703,0.00104703
29,2298.66,1.65554,2.5689,1.59952,0.18157,0.19194,0.10409,0.04781,1.94381,2.75789,1.74331,0.00103288,0.00103288,0.00103288
30,2362.95,1.64529,2.57565,1.59711,0.17853,0.18737,0.10029,0.04909,1.94112,2.79407,1.77323,0.00101873,0.00101873,0.00101873
31,2437.73,1.63647,2.56742,1.59868,0.17081,0.18297,0.10198,0.04962,1.95049,2.75981,1.75886,0.00100459,0.00100459,0.00100459
32,2504.29,1.64628,2.57616,1.60467,0.18378,0.18408,0.10612,0.04955,1.95116,2.77941,1.76765,0.00099044,0.00099044,0.00099044
33,2579.25,1.64938,2.57149,1.60034,0.1759,0.19247,0.10787,0.05107,1.94157,2.75465,1.73914,0.000976293,0.000976293,0.000976293
