epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,2652.49,1.62557,2.53404,1.58509,0.19119,0.20182,0.11472,0.05198,1.94814,2.72921,1.74449,0.000962146,0.000962146,0.000962146
35,2724.58,1.62886,2.54874,1.59513,0.20468,0.18597,0.10611,0.04962,1.97136,2.77906,1.77382,0.000947999,0.000947999,0.000947999
36,2793.23,1.63237,2.54361,1.5859,0.17798,0.19305,0.10665,0.05007,1.9319,2.71513,1.74051,0.000933851,0.000933851,0.000933851
37,2859.4,1.61018,2.52236,1.57633,0.18725,0.19095,0.10973,0.05374,1.90972,2.74364,1.72506,0.000919704,0.000919704,0.000919704
38,2932.87,1.61259,2.52477,1.56899,0.19902,0.17331,0.10399,0.05211,1.94874,2.82185,1.77118,0.000905557,0.000905557,0.000905557
39,2999.14,1.60525,2.50159,1.56618,0.18433,0.19826,0.11077,0.05167,1.93249,2.73113,1.73265,0.00089141,0.00089141,0.00089141
40,3081.13,1.59317,2.5011,1.56026,0.18978,0.18502,0.10945,0.0537,1.91822,2.73576,1.72203,0.000877263,0.000877263,0.000877263
41,3144.11,1.5974,2.49747,1.56778,0.18325,0.21663,0.11184,0.05041,1.94154,2.70807,1.74482,0.000863116,0.000863116,0.000863116
42,3207.17,1.59747,2.48453,1.55678,0.18386,0.17393,0.10612,0.05167,1.91779,2.7768,1.72459,0.000848969,0.000848969,0.000848969
43,3282.82,1.57183,2.4593,1.55083,0.20436,0.18718,0.11167,0.05407,1.90729,2.76196,1.72384,0.000834822,0.000834822,0.000834822
44,3346.29,1.59153,2.49475,1.56409,0.18747,0.20384,0.11744,0.05649,1.92864,2.73836,1.73715,0.000820675,0.000820675,0.000820675
45,3425.78,1.58228,2.45639,1.54231,0.18759,0.20141,0.11573,0.05642,1.90409,2.71302,1.72325,0.000806528,0.000806528,0.000806528
46,3488.68,1.56125,2.45207,1.54615,0.19764,0.22703,0.12072,0.05944,1.9102,2.68477,1.7277,0.00079238,0.00079238,0.00079238
47,3552.01,1.58283,2.45704,1.55242,0.20386,0.22025,0.12016,0.0597,1.91942,2.74534,1.72772,0.000778233,0.000778233,0.000778233
48,3616.55,1.56823,2.44533,1.54011,0.19077,0.21413,0.11663,0.05685,1.92128,2.73833,1.73646,0.000764086,0.000764086,0.000764086
49,3679.23,1.5602,2.43749,1.54354,0.18025,0.2132,0.11889,0.0583,1.92002,2.70544,1.74202,0.000749939,0.000749939,0.000749939
50,3742.66,1.56318,2.43558,1.53175,0.19,0.23285,0.12562,0.06033,1.91613,2.66249,1.71516,0.000735792,0.000735792,0.000735792
51,3810.38,1.54957,2.43676,1.5409,0.20325,0.22116,0.12773,0.06065,1.90699,2.6794,1.73813,0.000721645,0.000721645,0.000721645
52,3873.88,1.54874,2.41773,1.53036,0.20137,0.22705,0.12816,0.06195,1.89298,2.67256,1.7259,0.000707498,0.000707498,0.000707498
53,3936.74,1.53188,2.4125,1.52581,0.18193,0.2213,0.12074,0.05914,1.90081,2.70384,1.72508,0.000693351,0.000693351,0.000693351
54,4000.03,1.55038,2.39744,1.51883,0.19778,0.22257,0.12344,0.05924,1.91632,2.68235,1.72706,0.000679204,0.000679204,0.000679204
55,4068.73,1.53581,2.38913,1.51781,0.19792,0.21518,0.1218,0.06056,1.89673,2.71037,1.73161,0.000665057,0.000665057,0.000665057
56,4131.91,1.52862,2.37917,1.51036,0.19998,0.20828,0.12379,0.06269,1.89863,2.73371,1.7224,0.000650909,0.000650909,0.000650909
57,4194.96,1.52952,2.38029,1.5192,0.19903,0.22133,0.12186,0.06067,1.90408,2.67983,1.73183,0.000636762,0.000636762,0.000636762
58,4258.13,1.5155,2.37873,1.50868,0.19155,0.22567,0.12297,0.0607,1.88823,2.67316,1.71069,0.000622615,0.000622615,0.000622615
59,4323.47,1.49698,2.35258,1.50142,0.19618,0.2373,0.12805,0.06213,1.90455,2.66465,1.7281,0.000608468,0.000608468,0.000608468
60,4386.63,1.51904,2.36294,1.50601,0.20738,0.22994,0.12963,0.06518,1.89507,2.64983,1.72662,0.000594321,0.000594321,0.000594321
61,4449.55,1.51185,2.35589,1.50489,0.20447,0.24373,0.13039,0.06383,1.90555,2.6255,1.72835,0.000580174,0.000580174,0.000580174
62,4512.88,1.48911,2.32613,1.49132,0.20012,0.23738,0.13001,0.06203,1.885,2.65035,1.71567,0.000566027,0.000566027,0.000566027
63,4576.48,1.50788,2.34184,1.50736,0.20261,0.22005,0.12684,0.06118,1.90618,2.65562,1.718,0.00055188,0.00055188,0.00055188
64,4639.77,1.49732,2.32731,1.50449,0.20087,0.24977,0.13007,0.05939,1.91382,2.66717,1.74415,0.000537733,0.000537733,0.000537733
65,4709.56,1.50162,2.33474,1.49983,0.19941,0.22652,0.12881,0.0639,1.90168,2.6509,1.73709,0.000523586,0.000523586,0.000523586
66,4772.73,1.48239,2.33284,1.49514,0.21214,0.23396,0.1332,0.0634,1.9053,2.68402,1.7259,0.000509438,0.000509438,0.000509438
67,4836.49,1.49201,2.31454,1.49277,0.2161,0.23102,0.13166,0.0662,1.89855,2.65842,1.7244,0.000495291,0.000495291,0.000495291
68,4908.72,1.4695,2.29896,1.47957,0.20651,0.23741,0.13484,0.06551,1.87752,2.66477,1.71358,0.000481144,0.000481144,0.000481144
69,4972.41,1.46722,2.29776,1.48179,0.20664,0.23736,0.1339,0.06494,1.89709,2.65596,1.72295,0.000466997,0.000466997,0.000466997
70,5035.21,1.4688,2.29318,1.48554,0.20209,0.23861,0.13192,0.06562,1.90203,2.62448,1.72594,0.00045285,0.00045285,0.00045285
71,5112.88,1.45321,2.27909,1.47297,0.20759,0.23566,0.13181,0.0654,1.87995,2.66305,1.71954,0.000438703,0.000438703,0.000438703
72,5183.96,1.45379,2.27046,1.47825,0.21594,0.24741,0.13579,0.06671,1.91216,2.63406,1.75191,0.000424556,0.000424556,0.000424556
73,5249.6,1.44799,2.25155,1.46602,0.20894,0.23486,0.13495,0.06925,1.90622,2.63226,1.72859,0.000410409,0.000410409,0.000410409
74,5315.84,1.44992,2.25107,1.45896,0.19876,0.24441,0.13361,0.06705,1.8984,2.65114,1.72924,0.000396262,0.000396262,0.000396262
75,5456.58,1.45302,2.2464,1.47245,0.20825,0.25344,0.14047,0.07007,1.88641,2.61697,1.72514,0.000382115,0.000382115,0.000382115
76,5527.6,1.44119,2.23373,1.45702,0.20349,0.24988,0.13473,0.06717,1.89908,2.64417,1.72992,0.000367967,0.000367967,0.000367967
77,5595.1,1.45063,2.22714,1.45664,0.2155,0.25751,0.13811,0.06899,1.88533,2.61153,1.72097,0.00035382,0.00035382,0.00035382
78,5658.45,1.42512,2.21325,1.44917,0.20481,0.25557,0.14084,0.07177,1.88031,2.62389,1.72162,0.000339673,0.000339673,0.000339673
79,5742.84,1.43931,2.21967,1.46107,0.21491,0.2457,0.14161,0.07046,1.9228,2.63743,1.75071,0.000325526,0.000325526,0.000325526
80,5818.97,1.43107,2.21839,1.45785,0.21335,0.25501,0.14006,0.07092,1.90129,2.65295,1.73189,0.000311379,0.000311379,0.000311379
81,5882.98,1.39311,2.18918,1.43999,0.20852,0.24818,0.13774,0.0699,1.89194,2.63361,1.73363,0.000297232,0.000297232,0.000297232
82,5953.2,1.41837,2.18389,1.44806,0.21326,0.24192,0.13817,0.0706,1.88944,2.65256,1.7342,0.000283085,0.000283085,0.000283085
83,6020.1,1.39833,2.18728,1.43713,0.21076,0.25779,0.14131,0.07297,1.89488,2.62122,1.73514,0.000268938,0.000268938,0.000268938
84,6083.23,1.38543,2.16092,1.4271,0.20586,0.24753,0.13571,0.06967,1.89983,2.6771,1.72959,0.000254791,0.000254791,0.000254791
85,6146.43,1.40318,2.15787,1.42562,0.2144,0.25684,0.14067,0.07141,1.90982,2.65282,1.75161,0.000240644,0.000240644,0.000240644
86,6211.45,1.39794,2.17116,1.43081,0.21616,0.26893,0.14033,0.07172,1.9067,2.61966,1.73691,0.000226497,0.000226497,0.000226497
87,6284.82,1.36871,2.13353,1.42337,0.22795,0.25636,0.14356,0.07365,1.91145,2.63576,1.74664,0.000212349,0.000212349,0.000212349
88,6351.96,1.37595,2.1327,1.41677,0.21736,0.25907,0.1429,0.07336,1.9113,2.63131,1.74169,0.000198202,0.000198202,0.000198202
89,6415.33,1.39548,2.15398,1.43103,0.22467,0.25317,0.14347,0.07335,1.90216,2.63754,1.73576,0.000184055,0.000184055,0.000184055
90,6478.47,1.36732,2.13974,1.40868,0.21442,0.25698,0.14248,0.07318,1.91241,2.63359,1.74601,0.000169908,0.000169908,0.000169908
91,6539,1.468,2.24471,1.49631,0.2185,0.26205,0.14142,0.07195,1.89808,2.59129,1.74451,0.000155761,0.000155761,0.000155761
92,6599.31,1.42848,2.17011,1.47535,0.21514,0.26034,0.14227,0.07396,1.89028,2.62079,1.73552,0.000141614,0.000141614,0.000141614
93,6659.95,1.42308,2.16617,1.47723,0.21886,0.26413,0.14533,0.07553,1.88591,2.63065,1.73008,0.000127467,0.000127467,0.000127467
94,6720.6,1.39933,2.1314,1.45889,0.2301,0.26661,0.1465,0.07596,1.88781,2.63858,1.73806,0.00011332,0.00011332,0.00011332
95,6781.22,1.40241,2.15313,1.4684,0.21979,0.26709,0.14648,0.07588,1.88861,2.62943,1.73966,9.91726e-05,9.91726e-05,9.91726e-05
96,6841.3,1.40497,2.1212,1.46553,0.22995,0.26378,0.14481,0.07583,1.8931,2.6449,1.74509,8.50255e-05,8.50255e-05,8.50255e-05
97,6901.42,1.40237,2.13032,1.46999,0.22338,0.26001,0.14643,0.07758,1.89177,2.62597,1.74357,7.08784e-05,7.08784e-05,7.08784e-05
98,6961.86,1.39854,2.09367,1.45328,0.22579,0.2613,0.14659,0.07576,1.89914,2.62999,1.74845,5.67313e-05,5.67313e-05,5.67313e-05
99,7022.35,1.3853,2.10673,1.46061,0.23017,0.25617,0.14719,0.07737,1.89114,2.64441,1.74539,4.25842e-05,4.25842e-05,4.25842e-05
100,7082.8,1.3784,2.08217,1.44316,0.22976,0.26635,0.1474,0.07756,1.88645,2.64189,1.74597,2.84371e-05,2.84371e-05,2.84371e-05
