epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.511,1.74814,2.35866,1.67248,0.27034,0.41212,0.26285,0.0896,2.13673,2.86335,1.87655,0.000663805,0.000663805,0.000663805
2,219.011,1.788,2.25669,1.69365,0.20034,0.31515,0.14596,0.05218,2.02778,2.95847,1.77438,0.00124266,0.00124266,0.00124266
3,325.453,1.7414,2.14007,1.66934,0.2908,0.46667,0.27087,0.09653,1.97395,2.80047,1.74,0.00173352,0.00173352,0.00173352
4,432.106,1.74017,2.10596,1.62933,0.3214,0.55758,0.35961,0.1545,1.74679,2.04533,1.47816,0.001604,0.001604,0.001604
5,537.408,1.68481,2.04125,1.62232,0.44764,0.49697,0.38939,0.16152,1.75356,2.21157,1.5286,0.001472,0.001472,0.001472
6,642.443,1.7406,2.1379,1.70579,0.55615,0.39394,0.4527,0.21898,1.68349,2.13947,1.38157,0.00134,0.00134,0.00134
7,747.539,1.67322,1.89881,1.65172,0.54725,0.53333,0.47855,0.2214,1.64843,1.86892,1.39123,0.001208,0.001208,0.001208
8,851.825,1.57662,1.78479,1.55688,0.59957,0.52634,0.55688,0.28059,1.60519,1.80219,1.36802,0.001076,0.001076,0.001076
9,956.03,1.49551,1.6811,1.51426,0.69802,0.58182,0.61291,0.30703,1.58422,1.69917,1.32547,0.000944,0.000944,0.000944
10,1060.36,1.47989,1.58891,1.49475,0.76099,0.65609,0.68562,0.37481,1.43806,1.56725,1.2527,0.000812,0.000812,0.000812
11,1164.83,1.44062,1.54952,1.49198,0.75598,0.65715,0.68985,0.38922,1.47753,1.44954,1.23317,0.00068,0.00068,0.00068
12,1269.01,1.39306,1.50046,1.44263,0.69505,0.66667,0.65791,0.36773,1.46448,1.49204,1.21577,0.000548,0.000548,0.000548
13,1373.33,1.34893,1.44774,1.42561,0.76836,0.66667,0.69963,0.41169,1.36128,1.38902,1.17251,0.000416,0.000416,0.000416
14,1478.3,1.32612,1.39547,1.40453,0.79326,0.67437,0.71703,0.43852,1.28228,1.35868,1.11617,0.000284,0.000284,0.000284
15,1582.08,1.27259,1.36473,1.37384,0.78408,0.72627,0.74242,0.45334,1.27939,1.28831,1.10905,0.000152,0.000152,0.000152
